PLAYER,TEAM,MIN
Marko Simonovic,CHI,35.2
Tyler Johnson,SAS,91.4
Tyrone Wallace,NOP,74.9
Ryan Arcidiacono,NYK,76.3
Justin Jackson,PHX,36.5
RJ Nembhard Jr.,CLE,62.7
Aleem Ford,ORL,73.5
Cameron McGriff,POR,46.0
Cassius Winston,WAS,39.0
Langston Galloway,MIL,106.7
Petr Cornelie,DEN,38.0
Sekou Doumbouya,LAL,16.4
Gabriel Lundberg,PHX,44.2
Marcus Garrett,MIA,128.2
Myles Powell,PHI,52.1
Yves Pons,MEM,71.0
Isaac Bonga,TOR,68.7
Micah Potter,DET,30.9
Tacko Fall,CLE,58.8
Cheick Diallo,DET,30.6
Tremont Waters,WAS,50.3
Daniel Oturu,TOR,27.3
Gabe York,IND,21.3
Mac McClung,LAL,24.4
Malik Newman,CLE,7.7
Solomon Hill,ATL,139.4
Eugene Omoruyi,DAL,17.8
Robert Woodard II,SAS,42.2
Sharife Cooper,ATL,38.6
Craig Sword,WAS,19.0
Dakota Mathias,MEM,16.2
Norvel Pelle,UTA,19.0
Paris Bass,PHX,7.4
Trevon Scott,CLE,11.4
Jordan Schakel,WAS,30.3
Juwan Morgan,BOS,31.0
McKinley Wright IV,MIN,18.9
Miye Oni,UTA,44.2
Moses Wright,DAL,14.7
Wayne Selden,NYK,19.1
Xavier Sneed,UTA,38.7
Carlik Jones,DEN,23.3
Chandler Hutchison,PHX,22.4
Damyean Dotson,NYK,20.5
Darren Collison,LAL,37.2
Jemerrio Jones,LAL,14.7
Scotty Hopson,OKC,17.7
Shaquille Harrison,BKN,22.6
Deividas Sirvydis,DET,26.6
Emmanuel Mudiay,SAC,11.0
Matt Ryan,BOS,5.3
Rob Edwards,OKC,10.8
Aaron Henry,PHI,17.0
Ahmad Caver,IND,0.8
DaQuan Jeffries,MEM,8.8
Jaden Springer,PHI,5.6
Jarron Cumberland,POR,12.3
Jaylen Morris,SAS,16.0
Joe Johnson,BOS,1.9
Joel Ayayi,WAS,20.2
Shaq Buchanan,MEM,9.8
Tyrell Terry,MEM,3.0
George King,DAL,19.2
Scottie Lewis,CHA,6.5
Ade Murkey,SAC,1.5
Anthony Lamb,HOU,7.7
Arnoldas Kulboka,CHA,5.3
CJ Miles,BOS,1.9
Cat Barber,ATL,12.8
David Johnson,TOR,2.0
DeJon Jarreau,IND,0.9
Emanuel Terry,PHX,18.2
Feron Hunt,NYK,8.4
JaQuori McLaughlin,DAL,10.9
Jaime Echenique,WAS,3.1
Javin DeLaurier,MIL,2.8
Jay Huff,LAL,20.3
Jaysean Paige,DET,6.6
Jon Teske,MEM,7.7
Jordan Bell,CHI,2.0
Jordan Goodwin,WAS,5.9
MJ Walker,PHX,8.4
Matt Mooney,NYK,1.9
Nate Hinton,IND,2.4
Sam Dekker,TOR,0.9
Trayvon Palmer,DET,16.8
Tyler Hall,NYK,1.9
Zylan Cheatham,UTA,5.2
